step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
4925,2023-07-03 13:30:16.589299087,2,194.01877000000002,23.0,-0.04462148036429455,4462.131328229455,-0.013290076980212007,0.0167082
4926,2023-07-03 13:30:16.589299087,2,194.02854,13.0,-0.02522190647199257,2522.173938999257,-0.015290076980221556,0.0167082
4927,2023-07-03 13:30:16.589299087,2,194.02841,24.0,-0.04656577346352474,4656.560638152474,-0.005290076980230651,0.0167082
4928,2023-07-03 13:30:16.589488341,2,194.02817,54.0,-0.10476687623043066,10476.670675843066,-0.01629007698022633,0.0169472
4929,2023-07-03 13:30:16.589488341,2,194.03762999999998,35.0,-0.06789726094505691,6789.709147305692,-0.04629007698022747,0.0169472
4930,2023-07-03 13:30:16.589505630,2,194.03727999999998,42.0,-0.08148453618466829,8148.43721676683,-0.02729007698022201,0.0164017
4931,2023-07-03 13:30:16.589515253,2,194.03686,47.0,-0.0911815938138193,9118.14287638193,-0.03429007698022701,0.016505
4932,2023-07-03 13:30:16.770854123,2,194.03638999999998,30.0,-0.05819938464190594,5819.921997690593,-0.039290076980222466,0.0164665
4933,2023-07-03 13:30:16.770876296,2,194.04609,41.0,-0.0795500914604381,7954.99260684381,-0.02229007698022656,0.0165392
4934,2023-07-03 13:30:16.770876296,2,194.04568,41.0,-0.0795454133604381,7954.524796843811,-0.03329007698022224,0.0165392
4935,2023-07-03 13:30:16.771246775,2,194.04527000000002,36.0,-0.06984460745428712,6984.444237228712,-0.03329007698022224,0.0165082
4936,2023-07-03 13:30:16.771271565,2,194.05491,27.0,-0.052387424796215346,5238.726027921534,-0.028290076980226786,0.0164517
4937,2023-07-03 13:30:16.771274734,2,194.05464,37.0,-0.07179338099551733,7179.321637151733,-0.019290076980212234,0.0164624
4938,2023-07-03 13:30:17.023499950,2,194.05427,43.0,-0.0834310956678985,8343.09262668985,-0.02929007698023156,0.0169401
4939,2023-07-03 13:30:17.023499950,2,194.07384000000002,23.0,-0.04462908878329456,4462.891938229455,-0.03529007698023179,0.0169401
4940,2023-07-03 13:30:17.054252203,2,194.07361,37.0,-0.07180188028451732,7180.171527151732,-0.015290076980221556,0.0165013
4941,2023-07-03 13:30:17.054273146,2,194.10324,58.0,-0.11256339318635147,11256.322735535148,-0.02929007698023156,0.0165831
4942,2023-07-03 13:30:17.071335744,2,194.10266000000001,57.0,-0.11061034187312131,11061.01757561213,-0.050290076980218146,0.0166117
4943,2023-07-03 13:30:17.093241770,2,194.11209,20.0,-0.03881276465160396,3881.2599984603958,-0.04929007698021337,0.0164667
4944,2023-07-03 13:30:17.093263816,2,194.14189,20.0,-0.038826126348603954,3882.595998460395,-0.012290076980235654,0.0166364
4945,2023-07-03 13:30:17.093263816,2,194.14169,14.0,-0.027178301953222767,2717.8135589222766,-0.012290076980235654,0.0166364
4946,2023-07-03 13:30:17.093632670,2,194.14155,55.0,-0.10677486016466088,10677.469545766087,-0.006290076980235426,0.0164707
4947,2023-07-03 13:30:17.149933939,2,194.141,33.0,-0.06405120241059652,6405.103317459651,-0.04729007698023224,0.0169236
4948,2023-07-03 13:30:17.343521361,2,194.15067,46.0,-0.08929805098358912,8929.78863645891,-0.02529007698021246,0.0164619
4949,2023-07-03 13:30:17.998045534,2,194.16021,62.0,-0.12035614344327226,12035.597475227227,-0.03829007698021769,0.0168691
4950,2023-07-03 13:30:17.998045534,2,194.15959,53.0,-0.10287625855020047,10287.608985920047,-0.054290076980237245,0.0168691
